Headline,Source,Year,Month,Day,Pre-Covid,Bias,Cred,Sentiment
Trump Says Taliban Peace Talks to Resume in Surprise Afghanistan Visit,The Wall Street Journal,2019,11,28,0,1,1,-1
Sondland Denies Sexual-Misconduct Claims,The Wall Street Journal,2019,11,28,0,1,1,-1
"Western Storm Poised to Move East, Snarl Holiday Travel",The Wall Street Journal,2019,11,28,0,1,1,-1
France to Review Its Military Role in Africa After Deadly Helicopter Crash,The Wall Street Journal,2019,11,28,0,1,1,0
Iraqi Protesters Torch Iranian Consulate in City of Najaf,The Wall Street Journal,2019,11,28,0,1,1,-1
Franco-German Rift Clouds EU’s Future,The Wall Street Journal,2019,11,28,0,1,1,-1
"North Korea Test-Fires Projectiles, Aims to Pressure U.S. on Sanctions Relief",The Wall Street Journal,2019,11,28,0,1,1,-1
U.K. Opinion Polls Paint a Rosy Picture for Boris Johnson,The Wall Street Journal,2019,11,28,0,1,1,0
Hong Kong’s Harrowing University Siege Ends Not With a Bang but a Whimper,The Wall Street Journal,2019,11,28,0,1,1,-1
"China Criticizes U.S. Support for Protests, Signals Trade Hope",The Wall Street Journal,2019,11,28,0,1,1,-1
Four Health Workers Killed Amid Congo’s Ebola Outbreak,The Wall Street Journal,2019,11,28,0,1,1,-1
"Low Inflation, Stagnant Economy Drive Calls for Bigger Mexico Rate Cuts",The Wall Street Journal,2019,11,28,0,1,1,-1
"A Tight Job Market Insulates a Slowing Economy—and Perhaps Trump, Too",The Wall Street Journal,2019,11,28,0,1,1,-1
